year,state,region,latitude,longitude,source,generation
2018,Chandigarh,NR,30.7333,76.7794,wind,0.0
2018,Delhi,NR,28.7041,77.1025,wind,0.0
2018,Haryana,NR,29.0588,76.0856,wind,0.0
2018,Himachal Pradesh,NR,31.1048,77.1734,wind,0.0
2018,Jammu and Kashmir,NR,33.7782,76.5762,wind,0.0
2018,Punjab,NR,31.1471,75.3412,wind,0.0
2018,Rajasthan,WR,27.0238,74.2179,wind,5060.64
2018,Uttar Pradesh,NR,26.8467,80.9462,wind,0.0
2018,Uttarakhand,NR,30.0668,79.0193,wind,0.0
2018,Chhattisgarh,WR,21.2787,81.8661,wind,0.0
2018,Gujarat,WR,22.2587,71.1924,wind,8522.0
2018,Madhya Pradesh,WR,22.9734,78.6569,wind,3619.82
2018,Maharashtra,WR,19.7515,75.7139,wind,6099.69
2018,Dadra and Nagar Haveli,WR,20.1809,73.0169,wind,0.0
2018,Daman and Diu,WR,20.4283,72.8397,wind,0.0
2018,Andhra Pradesh,SR,15.9129,79.74,wind,5576.89
2018,Telangana,SR,18.1124,79.0193,wind,180.23
2018,Karnataka,SR,15.3173,75.7139,wind,6623.48
2018,Kerala,SR,10.8505,76.2711,wind,86.75
2018,Tamil Nadu,SR,11.1271,78.6569,wind,11491.81
2018,Lakshadweep,SR,10.5667,72.6417,wind,0.0
2018,Puducherry,SR,11.9416,79.8083,wind,0.0
2018,Andaman Nicobar,IS,11.7401,92.6586,wind,0.0
2018,Bihar,ER,25.0961,85.3131,wind,0.0
2018,Jharkhand,ER,23.6102,85.2799,wind,0.0
2018,Odisha,ER,20.9517,85.0985,wind,0.0
2018,Sikkim,ER,27.533,88.5122,wind,0.0
2018,West Bengal,ER,22.9868,87.855,wind,0.0
2018,Arunachal Pradesh,NER,28.218,94.7278,wind,0.0
2018,Assam,NER,26.2006,92.9376,wind,0.0
2018,Manipur,NER,24.6637,93.9063,wind,0.0
2018,Meghalaya,NER,25.467,91.3662,wind,0.0
2018,Mizoram,NER,23.1645,92.9376,wind,0.0
2018,Nagaland,NER,26.1584,94.5624,wind,0.0
2018,Tripura,NER,23.9408,91.9882,wind,0.0
2018,Chandigarh,NR,30.7333,76.7794,solar,6.35
2018,Delhi,NR,28.7041,77.1025,solar,11.03
2018,Haryana,NR,29.0588,76.0856,solar,51.84
2018,Himachal Pradesh,NR,31.1048,77.1734,solar,0.0
2018,Jammu and Kashmir,NR,33.7782,76.5762,solar,0.0
2018,Punjab,NR,31.1471,75.3412,solar,1194.18
2018,Rajasthan,WR,27.0238,74.2179,solar,2802.06
2018,Uttar Pradesh,NR,26.8467,80.9462,solar,476.52
2018,Uttarakhand,NR,30.0668,79.0193,solar,201.32
2018,Chhattisgarh,WR,21.2787,81.8661,solar,96.48
2018,Gujarat,WR,22.2587,71.1924,solar,1634.78
2018,Madhya Pradesh,WR,22.9734,78.6569,solar,1430.77
2018,Maharashtra,WR,19.7515,75.7139,solar,848.25
2018,Dadra and Nagar Haveli,WR,20.1809,73.0169,solar,4.5
2018,Daman and Diu,WR,20.4283,72.8397,solar,15.12
2018,Andhra Pradesh,SR,15.9129,79.74,solar,2892.76
2018,Telangana,SR,18.1124,79.0193,solar,2977.68
2018,Karnataka,SR,15.3173,75.7139,solar,1527.92
2018,Kerala,SR,10.8505,76.2711,solar,45.88
2018,Tamil Nadu,SR,11.1271,78.6569,solar,2259.01
2018,Lakshadweep,SR,10.5667,72.6417,solar,1.46
2018,Puducherry,SR,11.9416,79.8083,solar,1.06
2018,Andaman Nicobar,IS,11.7401,92.6586,solar,5.39
2018,Bihar,ER,25.0961,85.3131,solar,106.11
2018,Jharkhand,ER,23.6102,85.2799,solar,15.92
2018,Odisha,ER,20.9517,85.0985,solar,167.13
2018,Sikkim,ER,27.533,88.5122,solar,0.0
2018,West Bengal,ER,22.9868,87.855,solar,15.75
2018,Arunachal Pradesh,NER,28.218,94.7278,solar,0.21
2018,Assam,NER,26.2006,92.9376,solar,7.34
2018,Manipur,NER,24.6637,93.9063,solar,0.04
2018,Meghalaya,NER,25.467,91.3662,solar,0.0
2018,Mizoram,NER,23.1645,92.9376,solar,0.0
2018,Nagaland,NER,26.1584,94.5624,solar,0.0
2018,Tripura,NER,23.9408,91.9882,solar,0.0
2018,Chandigarh,NR,30.7333,76.7794,small_hydro,0.0
2018,Delhi,NR,28.7041,77.1025,small_hydro,0.0
2018,Haryana,NR,29.0588,76.0856,small_hydro,193.75
2018,Himachal Pradesh,NR,31.1048,77.1734,small_hydro,1802.59
2018,Jammu and Kashmir,NR,33.7782,76.5762,small_hydro,291.0
2018,Punjab,NR,31.1471,75.3412,small_hydro,174.57
2018,Rajasthan,WR,27.0238,74.2179,small_hydro,5.89
2018,Uttar Pradesh,NR,26.8467,80.9462,small_hydro,25.03
2018,Uttarakhand,NR,30.0668,79.0193,small_hydro,529.36
2018,Chhattisgarh,WR,21.2787,81.8661,small_hydro,19.62
2018,Gujarat,WR,22.2587,71.1924,small_hydro,34.18
2018,Madhya Pradesh,WR,22.9734,78.6569,small_hydro,109.12
2018,Maharashtra,WR,19.7515,75.7139,small_hydro,496.17
2018,Dadra and Nagar Haveli,WR,20.1809,73.0169,small_hydro,0.0
2018,Daman and Diu,WR,20.4283,72.8397,small_hydro,0.0
2018,Andhra Pradesh,SR,15.9129,79.74,small_hydro,139.77
2018,Telangana,SR,18.1124,79.0193,small_hydro,47.99
2018,Karnataka,SR,15.3173,75.7139,small_hydro,1531.08
2018,Kerala,SR,10.8505,76.2711,small_hydro,554.63
2018,Tamil Nadu,SR,11.1271,78.6569,small_hydro,159.42
2018,Lakshadweep,SR,10.5667,72.6417,small_hydro,0.0
2018,Puducherry,SR,11.9416,79.8083,small_hydro,0.0
2018,Andaman Nicobar,IS,11.7401,92.6586,small_hydro,11.37
2018,Bihar,ER,25.0961,85.3131,small_hydro,6.58
2018,Jharkhand,ER,23.6102,85.2799,small_hydro,0.0
2018,Odisha,ER,20.9517,85.0985,small_hydro,243.95
2018,Sikkim,ER,27.533,88.5122,small_hydro,28.54
2018,West Bengal,ER,22.9868,87.855,small_hydro,155.97
2018,Arunachal Pradesh,NER,28.218,94.7278,small_hydro,0.46
2018,Assam,NER,26.2006,92.9376,small_hydro,14.0
2018,Manipur,NER,24.6637,93.9063,small_hydro,0.0
2018,Meghalaya,NER,25.467,91.3662,small_hydro,61.4
2018,Mizoram,NER,23.1645,92.9376,small_hydro,48.96
2018,Nagaland,NER,26.1584,94.5624,small_hydro,84.21
2018,Tripura,NER,23.9408,91.9882,small_hydro,36.57
2018,Chandigarh,NR,30.7333,76.7794,bio_power,0.0
2018,Delhi,NR,28.7041,77.1025,bio_power,189.89
2018,Haryana,NR,29.0588,76.0856,bio_power,199.06
